UT (Unique WOS ID),Article Title,Source Title,Pubmed Id,Document Type,UT (Unique WOS ID),Publication Year,DOI
WOS_000386769500011,Understanding photodermatoses associated with defective DNA repair Syndromes with cancer predisposition,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,27745641,Article,WOS:000386769500011,2016,10.1016/j.jaad.2016.03.045
WOS_000386769500012,Understanding photodermatoses associated with defective DNA repair Photosensitive syndromes without associated cancer predisposition,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,27745642,Article,WOS:000386769500012,2016,10.1016/j.jaad.2016.03.044
WOS_000417961700018,Age-induced and photoinduced changes in gene expression profiles in facial skin of Caucasian females across 6 decades of age,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,29146147,Article,WOS:000417961700018,2018,10.1016/j.jaad.2017.09.012
WOS_000686500800001,Air pollution-induced tanning of human skin,BRITISH JOURNAL OF DERMATOLOGY,33991337,Article,WOS:000686500800001,2021,10.1111/bjd.20483
WOS_000723126400001,Autophagy induction regulates aquaporin 3-mediated skin fibroblast ageing,BRITISH JOURNAL OF DERMATOLOGY,34319590,Article,WOS:000723126400001,2022,10.1111/bjd.20662
WOS_000399363100035,Drug-induced photosensitivity: new insights into pathomechanisms and clinical variation through basic and applied science,BRITISH JOURNAL OF DERMATOLOGY,27510322,Article,WOS:000399363100035,2017,10.1111/bjd.14935
WOS_001206444300001,"Prediction, screening and characterization of novel bioactive tetrapeptide matrikines for skin rejuvenation",BRITISH JOURNAL OF DERMATOLOGY,38375775,Article,WOS:001206444300001,2024,10.1093/bjd/ljae061
WOS_000457747200010,"Prospective, randomized, double-blind assessment of topical bakuchiol and retinol for facial photoageing",BRITISH JOURNAL OF DERMATOLOGY,29947134,Article,WOS:000457747200010,2019,10.1111/bjd.16918
WOS_000419479300051,Morphological and molecular characterization of actinic lentigos reveals alterations of the dermal extracellular matrix,BRITISH JOURNAL OF DERMATOLOGY,28570000,Article,WOS:000419479300051,2017,10.1111/bjd.15697
WOS_000351465700002,Polypodium leucotomos: A Potential New Photoprotective Agent,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,25666116,Article,WOS:000351465700002,2015,10.1007/s40257-015-0113-0
WOS_001372728400001,Regenerative Potential Nanomedicine of Adipocyte Stem Cell-Derived Exosomes in Senescent Skin Tissue,INTERNATIONAL JOURNAL OF NANOMEDICINE,39660280,Article,WOS:001372728400001,2024,10.2147/IJN.S470225
WOS_000487388900003,Ameliorative Effect Of Zinc Oxide Nanoparticles Against Dermal Toxicity Induced By Lead Oxide In Rats,INTERNATIONAL JOURNAL OF NANOMEDICINE,31806958,Article,WOS:000487388900003,2019,10.2147/IJN.S220572
WOS_000983588600001,The anti-melanogenic properties of Swietenia macrophylla king,BIOMEDICINE & PHARMACOTHERAPY,37068335,Article,WOS:000983588600001,2023,10.1016/j.biopha.2023.114659
